condensor_pressure(atm),reboiler(pot)_heat_duty(Watt),reflux_ratio,input_mass_fraction_of_acetic_acid,pot_pressure(atm),daily_work(min),produced_acetic_acid_mass_fraction,reboiler(pot)_temperature(C),condensor_temperature(C),upper_product_flow_rate(kg/hr),condensor_mass_flow_outlet_rate,fraction_over_pressure,duty_over_frac_multiplyed_by_pressure,reboiler_temp_on_flowrate,condensor_temp_on_flowrate,upper_product_precent,aceticindutyoverflow,refluxin_pot_devidedby_cond_temp,daily_work_multip_duty,order,order,atmosphere_pressure(kpa)
0.1,466.7,4.6,0.99,0.198692327,268.818,0.999992,72.83688803,56.27404771,0.76083761,4.260690616,9.99992,4667.037336,95.732502,73.96328332,99.9992,613.3979975,8.608250457,125457.3606,5.1,5,10.1325
0.1,466.7,4.8,0.99,0.198692327,277.487,0.999993,72.83642589,56.27401557,0.734230955,4.25853954,9.99993,4667.032669,99.20097401,76.64348007,99.9993,635.6266102,8.673226356,129503.1829,5.2,5,10.1325
0.1,466.7,5,0.99,0.198692327,286.116,0.999993,72.83706969,56.27398908,0.711678243,4.270069461,9.99993,4667.032669,102.3455057,79.07223467,99.9993,655.7692853,8.735304521,133530.3372,5.2,5,10.1325
0.1,466.7,5.2,0.99,0.198692327,294.783,0.999994,72.83648494,56.27396592,0.690054758,4.2783395,9.99994,4667.028002,105.5517466,81.55000058,99.9994,676.319081,8.794667135,137575.2261,5.2,5,10.1325
0.1,466.7,5.4,0.99,0.198692327,303.467,0.999994,72.83717018,56.27394651,0.665629986,4.260031909,9.99994,4667.028002,109.4259149,84.54238497,99.9994,701.1360812,8.851597022,141628.0489,5.2,5,10.1325
0.1,466.7,5.6,0.99,0.198692327,312.144,0.999995,72.83632672,56.27392911,0.643644436,4.248053277,9.99995,4667.023335,113.1623652,87.43014928,99.9995,725.0861508,8.906206751,145677.6048,5.3,5,10.1325
0.1,466.7,5.8,0.99,0.198692327,320.802,0.999995,72.83723739,56.27391467,0.626396837,4.259498489,9.99995,4667.023335,116.2797018,89.83748221,99.9995,745.0511228,8.958760137,149718.2934,5.3,5,10.1325
0.1,466.7,6,0.99,0.198692327,329.506,0.999994,72.8375213,56.27390175,0.608035989,4.256251922,9.99994,4667.028002,119.7914641,92.5502812,99.9994,767.5486458,9.009331599,153780.4502,5.2,5,10.1325
0.1,466.7,6.2,0.99,0.198692327,338.253,0.999996,72.83775078,56.27389031,0.590107388,4.248773192,9.99996,4667.018668,123.4313487,95.36211794,99.9996,790.8698363,9.05809942,157862.6751,5.4,5,10.1325
0.1,466.7,6.4,0.99,0.198692327,346.957,0.999997,72.83814555,56.27388024,0.57420402,4.249109749,9.99997,4667.014001,126.8506367,98.00328499,99.9997,812.7748735,9.105169423,161924.8319,5.5,6,10.1325
0.1,466.7,6.6,0.99,0.198692327,355.645,0.999997,72.83805771,56.27387111,0.559398776,4.251430697,9.99997,4667.014001,130.2077531,100.597058,99.9997,834.2860585,9.15063075,165979.5215,5.5,6,10.1325
0.1,466.7,6.8,0.99,0.198692327,364.337,0.999998,72.83843626,56.27386305,0.544454289,4.246743452,9.99998,4667.009334,133.782464,103.3582878,99.9998,857.1868682,9.194627042,170036.0779,5.7,6,10.1325
0.1,466.7,7,0.99,0.198692327,373.017,0.999998,72.83810495,56.2737735,0.530266147,4.242129172,9.99998,4667.009334,137.3614088,106.1236397,99.9998,880.1223115,9.23720107,174087.0339,5.7,6,10.1325
0.1,466.7,7.2,0.99,0.198692327,381.69,0.999999,72.83856023,56.27384909,0.517593265,4.244264772,9.99999,4667.004667,140.7254792,108.7221433,99.9999,901.6723458,9.278660077,178134.723,6,6,10.1325
0.1,466.7,7.4,0.99,0.198692327,390.364,0.999999,72.83817354,56.27384298,0.505405396,4.24540533,9.99999,4667.004667,144.1183138,111.3439694,99.9999,923.4162052,9.318510516,182182.8788,6,6,10.1325
0.1,466.7,7.6,0.99,0.198692327,399.029,0.999999,72.8385827,56.27383759,0.493093135,4.240600962,9.99999,4667.004667,147.7176978,114.1241554,99.9999,946.4733943,9.357561331,186226.8343,6,6,10.1325
0.1,466.7,7.8,0.99,0.198692327,407.703,0.999999,72.83864173,56.27383259,0.481764769,4.239529969,9.99999,4667.004667,151.1913,116.8076958,99.9999,968.7290627,9.39532777,190274.9901,6,6,10.1325
0.1,466.7,8,0.99,0.198692327,416.372,1,72.83863588,56.273828,0.47112779,4.240150112,10,4667,154.6048384,119.4449344,100,990.6017214,9.432054175,194320.8124,6.3,6,10.1325
0.1,466.7,8.2,0.99,0.198692327,425.03,1,72.83871472,56.27382379,0.460711388,4.238544767,10,4667,158.1005303,122.1455021,100,1012.99862,9.467788466,198361.501,6.3,6,10.1325
0.1,466.7,8.4,0.99,0.198692327,433.688,1,72.83852397,56.27381986,0.450669561,4.236293874,10,4667,161.6229057,124.8671415,100,1035.570272,9.502406541,202402.1896,6.3,6,10.1325
0.1,466.7,8.6,0.99,0.198692327,442.346,1,72.83870477,56.27381631,0.44129483,4.236430366,10,4667,165.0567826,127.5197725,100,1057.569608,9.536481087,206442.8782,6.3,6,10.1325
0.1,466.7,8.8,0.99,0.198692327,451.004,1,72.83846836,56.27381294,0.432313205,4.236669406,10,4667,168.4854119,130.1690819,100,1079.541395,9.569356816,210483.5668,6.3,6,10.1325
0.1,466.7,9,0.99,0.198692327,459.662,1,72.83868155,56.27380988,0.423465789,4.23465789,10,4667,172.0060591,132.8886804,100,1102.096113,9.601773889,214524.2554,6.4,6,10.1325
0.1,466.7,9.2,0.99,0.198692327,468.32,1,72.83833603,56.27380695,0.415003976,4.233040553,10,4667,175.5123813,135.5982358,100,1124.56754,9.633066139,218564.944,6.4,6,10.1325
0.1,466.7,9.4,0.99,0.198692327,476.979,1,72.83865333,56.27380432,0.407084052,4.233674141,10,4667,178.9277987,138.2363275,100,1146.446287,9.6639784,222606.0993,6.4,6,10.1325
0.1,466.7,9.6,0.99,0.198692327,485.637,1,72.83866089,56.27380182,0.399335027,4.232951286,10,4667,182.3998797,140.9187725,100,1168.692873,9.694009395,226646.7879,6.4,6,10.1325
0.1,466.7,9.8,0.99,0.198692327,494.295,1,72.83859222,56.27379946,0.391820752,4.231664119,10,4667,185.8977399,143.621284,100,1191.105877,9.723364445,230687.4765,6.4,6,10.1325
0.1,466.7,10,0.99,0.198692327,502.953,1,72.83866793,56.27379728,0.384665249,4.231317741,10,4667,189.355987,146.2929064,100,1213.262703,9.752079997,234728.1651,6.4,6,10.1325
0.1,466.7,10.2,0.99,0.198692327,511.611,1,72.83855197,56.2737952,0.37779006,4.231248674,10,4667,192.8016632,148.9552032,100,1235.342189,9.78017098,238768.8537,6.4,6,10.1325
0.1,466.7,10.4,0.99,0.198692327,520.278,1,72.83860574,56.27379326,0.370990488,4.229291567,10,4667,196.3355073,151.6852723,100,1257.983734,9.807675488,242813.7426,6.4,6,10.1325
0.1,466.7,10.6,0.99,0.198692327,528.928,1,72.83846805,56.27379141,0.364590656,4.22925161,10,4667,199.7814997,154.3478706,100,1280.065718,9.834439822,246850.6976,6.4,6,10.1325
0.1,466.7,10.8,0.99,0.198692327,537.586,1,72.83865372,56.27378971,0.3584117,4.229258056,10,4667,203.2262166,157.0087968,100,1302.133832,9.860998415,250891.3862,6.4,6,10.1325
